"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|NL"
"04.01.2020 20:00 - 04.01.2020 21:00","41.70"
"04.01.2020 21:00 - 04.01.2020 22:00","34.46"
"04.01.2020 22:00 - 04.01.2020 23:00","39.75"
"04.01.2020 23:00 - 05.01.2020 00:00","37.95"
"05.01.2020 00:00 - 05.01.2020 01:00","33.10"
"05.01.2020 01:00 - 05.01.2020 02:00","32.28"
"05.01.2020 02:00 - 05.01.2020 03:00","31.18"
"05.01.2020 03:00 - 05.01.2020 04:00","30.10"
"05.01.2020 04:00 - 05.01.2020 05:00","29.96"
"05.01.2020 05:00 - 05.01.2020 06:00","29.88"
"05.01.2020 06:00 - 05.01.2020 07:00","30.38"
"05.01.2020 07:00 - 05.01.2020 08:00","31.15"
"05.01.2020 08:00 - 05.01.2020 09:00","32.09"
"05.01.2020 09:00 - 05.01.2020 10:00","34.27"
"05.01.2020 10:00 - 05.01.2020 11:00","37.53"
"05.01.2020 11:00 - 05.01.2020 12:00","38.99"
"05.01.2020 12:00 - 05.01.2020 13:00","38.15"
"05.01.2020 13:00 - 05.01.2020 14:00","35.37"
"05.01.2020 14:00 - 05.01.2020 15:00","34.44"
"05.01.2020 15:00 - 05.01.2020 16:00","36.10"
"05.01.2020 16:00 - 05.01.2020 17:00","40.59"
"05.01.2020 17:00 - 05.01.2020 18:00","44.68"
"05.01.2020 18:00 - 05.01.2020 19:00","46.16"
"05.01.2020 19:00 - 05.01.2020 20:00","43.17"
"05.01.2020 20:00 - 05.01.2020 21:00","35.00"
"05.01.2020 21:00 - 05.01.2020 22:00","33.79"
"05.01.2020 22:00 - 05.01.2020 23:00","34.90"
"05.01.2020 23:00 - 06.01.2020 00:00","31.00"
"06.01.2020 00:00 - 06.01.2020 01:00","29.16"
"06.01.2020 01:00 - 06.01.2020 02:00","29.00"
"06.01.2020 02:00 - 06.01.2020 03:00","29.08"
"06.01.2020 03:00 - 06.01.2020 04:00","27.72"
"06.01.2020 04:00 - 06.01.2020 05:00","27.03"
"06.01.2020 05:00 - 06.01.2020 06:00","28.98"
"06.01.2020 06:00 - 06.01.2020 07:00","33.18"
"06.01.2020 07:00 - 06.01.2020 08:00","43.13"
"06.01.2020 08:00 - 06.01.2020 09:00","44.52"
"06.01.2020 09:00 - 06.01.2020 10:00","44.96"
"06.01.2020 10:00 - 06.01.2020 11:00","44.00"
"06.01.2020 11:00 - 06.01.2020 12:00","42.46"
"06.01.2020 12:00 - 06.01.2020 13:00","41.30"
"06.01.2020 13:00 - 06.01.2020 14:00","40.51"
"06.01.2020 14:00 - 06.01.2020 15:00","41.22"
"06.01.2020 15:00 - 06.01.2020 16:00","43.28"
"06.01.2020 16:00 - 06.01.2020 17:00","43.68"
"06.01.2020 17:00 - 06.01.2020 18:00","47.90"
"06.01.2020 18:00 - 06.01.2020 19:00","48.91"
"06.01.2020 19:00 - 06.01.2020 20:00","45.04"
"06.01.2020 20:00 - 06.01.2020 21:00","40.00"
"06.01.2020 21:00 - 06.01.2020 22:00","33.89"
"06.01.2020 22:00 - 06.01.2020 23:00","33.58"
"06.01.2020 23:00 - 07.01.2020 00:00","30.35"
"07.01.2020 00:00 - 07.01.2020 01:00","30.00"
"07.01.2020 01:00 - 07.01.2020 02:00","30.98"
"07.01.2020 02:00 - 07.01.2020 03:00","29.78"
"07.01.2020 03:00 - 07.01.2020 04:00","29.00"
"07.01.2020 04:00 - 07.01.2020 05:00","29.65"
"07.01.2020 05:00 - 07.01.2020 06:00","31.79"
"07.01.2020 06:00 - 07.01.2020 07:00","38.73"
"07.01.2020 07:00 - 07.01.2020 08:00","49.01"
"07.01.2020 08:00 - 07.01.2020 09:00","51.09"
"07.01.2020 09:00 - 07.01.2020 10:00","51.12"
"07.01.2020 10:00 - 07.01.2020 11:00","49.83"
"07.01.2020 11:00 - 07.01.2020 12:00","49.16"
"07.01.2020 12:00 - 07.01.2020 13:00","48.43"
"07.01.2020 13:00 - 07.01.2020 14:00","47.99"
"07.01.2020 14:00 - 07.01.2020 15:00","46.22"
"07.01.2020 15:00 - 07.01.2020 16:00","43.10"
"07.01.2020 16:00 - 07.01.2020 17:00","45.90"
"07.01.2020 17:00 - 07.01.2020 18:00","47.96"
"07.01.2020 18:00 - 07.01.2020 19:00","48.11"
"07.01.2020 19:00 - 07.01.2020 20:00","40.89"
"07.01.2020 20:00 - 07.01.2020 21:00","30.10"
"07.01.2020 21:00 - 07.01.2020 22:00","32.93"
"07.01.2020 22:00 - 07.01.2020 23:00","31.00"
"07.01.2020 23:00 - 08.01.2020 00:00","31.30"
"08.01.2020 00:00 - 08.01.2020 01:00","25.27"
"08.01.2020 01:00 - 08.01.2020 02:00","25.77"
"08.01.2020 02:00 - 08.01.2020 03:00","23.24"
"08.01.2020 03:00 - 08.01.2020 04:00","19.76"
"08.01.2020 04:00 - 08.01.2020 05:00","19.28"
"08.01.2020 05:00 - 08.01.2020 06:00","23.86"
"08.01.2020 06:00 - 08.01.2020 07:00","27.70"
"08.01.2020 07:00 - 08.01.2020 08:00","40.07"
"08.01.2020 08:00 - 08.01.2020 09:00","42.66"
"08.01.2020 09:00 - 08.01.2020 10:00","44.21"
"08.01.2020 10:00 - 08.01.2020 11:00","46.17"
"08.01.2020 11:00 - 08.01.2020 12:00","46.18"
"08.01.2020 12:00 - 08.01.2020 13:00","46.85"
"08.01.2020 13:00 - 08.01.2020 14:00","44.90"
"08.01.2020 14:00 - 08.01.2020 15:00","46.04"
"08.01.2020 15:00 - 08.01.2020 16:00","46.33"
"08.01.2020 16:00 - 08.01.2020 17:00","47.90"
"08.01.2020 17:00 - 08.01.2020 18:00","58.92"
"08.01.2020 18:00 - 08.01.2020 19:00","55.92"
"08.01.2020 19:00 - 08.01.2020 20:00","56.67"
"08.01.2020 20:00 - 08.01.2020 21:00","48.10"
"08.01.2020 21:00 - 08.01.2020 22:00","44.92"
"08.01.2020 22:00 - 08.01.2020 23:00","41.51"
"08.01.2020 23:00 - 09.01.2020 00:00","39.41"
"09.01.2020 00:00 - 09.01.2020 01:00","34.08"
"09.01.2020 01:00 - 09.01.2020 02:00","32.20"
"09.01.2020 02:00 - 09.01.2020 03:00","32.56"
"09.01.2020 03:00 - 09.01.2020 04:00","32.11"
"09.01.2020 04:00 - 09.01.2020 05:00","29.00"
"09.01.2020 05:00 - 09.01.2020 06:00","29.00"
"09.01.2020 06:00 - 09.01.2020 07:00","35.28"
"09.01.2020 07:00 - 09.01.2020 08:00","46.50"
"09.01.2020 08:00 - 09.01.2020 09:00","47.85"
"09.01.2020 09:00 - 09.01.2020 10:00","45.68"
"09.01.2020 10:00 - 09.01.2020 11:00","43.61"
"09.01.2020 11:00 - 09.01.2020 12:00","40.00"
"09.01.2020 12:00 - 09.01.2020 13:00","37.06"
"09.01.2020 13:00 - 09.01.2020 14:00","34.04"
"09.01.2020 14:00 - 09.01.2020 15:00","32.90"
"09.01.2020 15:00 - 09.01.2020 16:00","32.54"
"09.01.2020 16:00 - 09.01.2020 17:00","33.21"
"09.01.2020 17:00 - 09.01.2020 18:00","42.93"
"09.01.2020 18:00 - 09.01.2020 19:00","45.86"
"09.01.2020 19:00 - 09.01.2020 20:00","41.03"
"09.01.2020 20:00 - 09.01.2020 21:00","32.96"
"09.01.2020 21:00 - 09.01.2020 22:00","30.90"
"09.01.2020 22:00 - 09.01.2020 23:00","31.02"
"09.01.2020 23:00 - 10.01.2020 00:00","29.70"
"10.01.2020 00:00 - 10.01.2020 01:00","28.00"
"10.01.2020 01:00 - 10.01.2020 02:00","27.60"
"10.01.2020 02:00 - 10.01.2020 03:00","28.12"
"10.01.2020 03:00 - 10.01.2020 04:00","26.75"
"10.01.2020 04:00 - 10.01.2020 05:00","27.07"
"10.01.2020 05:00 - 10.01.2020 06:00","27.95"
"10.01.2020 06:00 - 10.01.2020 07:00","29.18"
"10.01.2020 07:00 - 10.01.2020 08:00","43.29"
"10.01.2020 08:00 - 10.01.2020 09:00","47.40"
"10.01.2020 09:00 - 10.01.2020 10:00","53.63"
"10.01.2020 10:00 - 10.01.2020 11:00","54.33"
"10.01.2020 11:00 - 10.01.2020 12:00","50.39"
"10.01.2020 12:00 - 10.01.2020 13:00","42.56"
"10.01.2020 13:00 - 10.01.2020 14:00","37.71"
"10.01.2020 14:00 - 10.01.2020 15:00","37.27"
