sigma,overcommission,consumption,cost
261,3954046214353,190.700805387196,7065.8907054263
262,3964143858128,190.691338328419,7067.59786753789
263,3945776222367,190.707704887242,7066.34500082425
264,3980338337010,190.677710343156,7066.06169663316
265,3961906930104,190.691156448642,7065.92082518548
266,3953909533861,190.702798297574,7067.18953200966
267,3963917997180,190.692101249386,7065.84978976018
268,3970998461511,190.687442927954,7066.08522641662
269,3958430802175,190.69678948563,7066.70540899777
270,3958968613800,190.699015987478,7065.67699657
271,3974575306202,190.680568918426,7065.48692287412
272,3958993698103,190.695291367501,7066.51774336791
273,3949726509140,190.707557583259,7067.43603175016
274,3952619625375,190.705550915416,7066.79407844312
275,3951257579925,190.707643598613,7066.69928102375
276,3962831733108,190.698274899221,7066.948870136
277,3962246807079,190.698720124744,7065.62413107959
278,3947656208317,190.710753889971,7067.28128933769
279,3956306034765,190.703106388363,7067.53085145321
280,3985607801038,190.669631865889,7068.61938643345
281,3930890392386,190.720506657158,7068.9486730607
282,3954971961660,190.701327100559,7066.56724757872
283,3955889677393,190.701207420196,7068.12469474653
284,3969871582844,190.688806666383,7067.2446134201
285,3976505923772,190.685393846993,7068.44966081089
286,3955787720917,190.706572404093,7069.20840015435
287,3952902026762,190.704015386351,7067.31777361899
288,3935798274594,190.726969877955,7068.73028017389
289,3934172029173,190.727031312585,7068.2263132402
290,3959242983986,190.699848919302,7068.33740049831
291,3968047206048,190.695604487686,7068.24647350053
292,3965145173587,190.695696165111,7068.98860105901
293,3982862045418,190.681376876283,7069.5190809279
294,3949764005590,190.711541678157,7068.56945817393
295,3947912956902,190.71277643441,7069.8233751233
296,3941936039946,190.719916737126,7068.99408141997
297,3952297382775,190.708944697526,7068.96033453222
298,3962920536052,190.697071105233,7070.56561419241
299,3946938934382,190.718898494228,7069.60920147344
300,3958930164062,190.70395060119,7070.19140903672
301,3946004002448,190.715014320474,7071.57088841141
302,3917745609849,190.746877067769,7070.40934905993
303,3948043395511,190.712934050165,7069.98351271526
304,3949030711463,190.711555874795,7070.89641364606
305,3935061666970,190.727327226418,7070.70399523853
306,3930800556096,190.730185020666,7071.551297872
307,3949395900073,190.713888061205,7070.11267490075
308,3954046915496,190.709056224898,7068.93246278663
309,3935107919610,190.727346491529,7069.09275546529
310,3941537570785,190.722638908741,7071.36552302159
311,3936279450275,190.725592324245,7071.56239751099
312,3930422442186,190.730905942964,7071.13189773283
313,3947579571272,190.714802964916,7071.18477624521
314,3952159688484,190.707878000409,7070.80569260495
315,3936089785877,190.725920850842,7070.39137521219
316,3915850078181,190.745530021883,7072.58561337278
317,3949250663911,190.717363303792,7071.80555430174
318,3925550883589,190.738526291246,7072.4621620362
319,3962786705017,190.700199280052,7070.37165715597
320,3936396363203,190.726412631809,7072.35098960366
321,3948150112970,190.717322537026,7071.56780723972
322,3942487603886,190.722073611307,7070.90322265119
323,3959274667700,190.705797587082,7070.82959955291
324,3939705311961,190.724867194938,7073.32119051934
325,3933923461662,190.732042193583,7072.68766984213
326,3936885155243,190.728108199933,7070.53152031493
327,3947164348568,190.717731384836,7071.53062031361
328,3955416099515,190.714541850189,7070.99513051177
329,3947522127448,190.719432209564,7072.79407644516
330,3949391471755,190.715214293185,7073.19120492594
331,3952219195440,190.712437660498,7072.03899470649
332,3937782530006,190.727103781852,7071.69655106039
333,3961074598986,190.705514579104,7072.56380891272
334,3952018251993,190.71779637645,7072.3553787093
335,3963204711593,190.703588742638,7071.06582913175
336,3936136399551,190.729466585822,7071.68265150013
337,3942482325460,190.72609987805,7073.85139122663
338,3927147617222,190.742762853664,7073.3975830309
339,3941700164431,190.723131290686,7072.76190712854
340,3954448397311,190.71220395812,7071.92396929855
341,3946266661590,190.720626546109,7073.00003518996
342,3959758237062,190.7072698569,7073.4944158809
343,3937372349291,190.731867744291,7073.93646795912
344,3927221171293,190.743551479329,7073.09553434023
345,3954461073433,190.71882568902,7074.25397247523
346,3945976113242,190.723679093172,7074.48967651464
347,3945803327151,190.724151139034,7074.09334363443
348,3924815213514,190.747136486627,7074.19014260084
349,3935431998816,190.731692064838,7075.13858358378
350,3928926750267,190.741584242278,7075.89928400649
351,3940984152521,190.730463191474,7074.34280053157
352,3944153113547,190.730231405461,7074.42663672426
353,3919911689672,190.744584836678,7075.61593616749
354,3918819017321,190.751074677263,7075.06307799313
355,3919901429133,190.749089147829,7074.14286061762
356,3940715983972,190.725369858714,7074.11589104384
357,3925961510597,190.747288302037,7075.80312874623
358,3922118547466,190.745252238953,7075.27605599634
359,3928446023761,190.742213269255,7074.95285135405
360,3934580139156,190.73503878426,7073.79726798646
361,3922747706047,190.750332235269,7076.63716262229
362,3919670390897,190.752349213734,7075.63984581851
363,3915274196902,190.752812989035,7074.68544980651
364,3901711587057,190.766821919928,7078.07369877857
365,3945943371983,190.724284338682,7075.64862432422
366,3922705947846,190.744541323113,7077.33832923568
367,3938271996397,190.737188931169,7075.0938515405
368,3922784876563,190.747198670386,7076.02420177483
369,3930330938845,190.740258531347,7075.50038775073
370,3934498649981,190.739208047622,7076.53253817345
371,3977035742498,190.696142653977,7074.91239099837
372,3914678086466,190.761618732599,7076.00600781749
373,3926579632964,190.747451535856,7075.27936212673
374,3928785480093,190.746809590855,7074.66259679527
375,3934890761461,190.740074972507,7076.46424472546
376,3960877898294,190.714176826756,7076.7079556895
377,3915620618036,190.760372734119,7078.31030016314
378,3936230651456,190.738756492259,7078.22526350201
379,3947329040860,190.728237492134,7075.87040880838
380,3943745081334,190.730716547933,7076.21987012518
381,3934287217663,190.738425400988,7076.61070769502
382,3921928375610,190.749244862191,7078.13626473142
383,3940519289943,190.733896319035,7076.95736938463
384,3920044571052,190.750106164766,7077.17506442551
385,3956357213156,190.718813412593,7078.54979643547
386,3921857732707,190.747096653313,7076.92462539862
387,3938079482265,190.738787804094,7077.89942162173
388,3945761956069,190.730337236053,7076.69291234583
389,3930323117315,190.746941730879,7078.17037659089
390,3928639219253,190.747280941401,7075.27857896006
391,3950155287502,190.719419196246,7077.03144471712
392,3938593068347,190.733515224829,7077.63886811191
393,3911667271007,190.760138315614,7078.64378391801
394,3936191309984,190.74265610387,7078.49570005763
395,3925006756320,190.754368506341,7077.48582641358
396,3942480751967,190.732461718566,7077.23549783258
397,3917577019936,190.759469762757,7080.22352886719
398,3955836989249,190.721561214385,7077.90789484333
399,3940001172836,190.736035507538,7077.55286988297
400,3923864876114,190.751167119682,7077.4696968859
401,3929352880366,190.746363965345,7079.11713211393
402,3924496291702,190.75329268102,7078.1654830491
403,3915692968312,190.758089833282,7079.04348277548
404,3950145904031,190.728133179162,7076.79459777563
405,3950359041726,190.725359569702,7077.46300770189
406,3937373822277,190.741034487445,7078.92268989096
407,3913381911597,190.764457213047,7080.19896460162
408,3927015547131,190.740831202239,7077.29452738617
409,3931311273672,190.744297345259,7079.68923701689
410,3936573708424,190.735846472603,7078.53543602394
411,3964622514111,190.714374344529,7077.79823399947
412,3930599388434,190.744111771367,7079.04958073402
413,3927959730511,190.74072883329,7079.8623309627
414,3937128200030,190.738807010266,7078.71945006017
415,3917312599469,190.755269776308,7081.09715181242
416,3919190376665,190.759131309549,7079.32236167824
417,3953588249991,190.722571310674,7077.85352698518
418,3926486646998,190.748181817315,7079.12224381278
419,3944124895590,190.732953235734,7078.25822472594
420,3926068071577,190.754966995553,7079.21710931433
421,3906368332051,190.769729604774,7079.58112461154
422,3933089972505,190.745282096291,7079.01616263032
423,3944933188280,190.733351854614,7081.251885213
424,3926322057130,190.75610173013,7080.10087322892
425,3940138600332,190.739396591531,7078.10709978321
426,3955964608168,190.721557772245,7080.38086927511
427,3925592321730,190.751893711473,7078.93896398529
428,3927080287021,190.749465545885,7078.44655021767
429,3939309483777,190.732943675626,7080.48520472974
430,3949638996803,190.729746571511,7078.38394634736
431,3936366812945,190.740113295984,7080.43500563011
432,3934045890343,190.745735061328,7079.87506978512
433,3934114052375,190.750395145789,7080.88213478158
434,3912479031982,190.769389721794,7080.36124586257
435,3951942802343,190.728924983219,7080.35866698388
436,3910916428577,190.77213922087,7082.04186935921
437,3940550063717,190.740081965778,7078.95769814923
438,3960510949375,190.718397165957,7078.8496916246
439,3942792654929,190.735579698304,7079.75687464678
440,3918367730030,190.755391122748,7081.47127775499
441,3927580211410,190.753267280995,7079.60841675046
442,3958624816241,190.721724670882,7079.05730634877
443,3925267517522,190.753089447542,7080.76531485484
444,3927563438437,190.753740572148,7082.18768880038
445,3906746012813,190.771616026703,7081.14788497519
446,3916063842252,190.76288788266,7080.43581951127
447,3926270416324,190.751877838479,7081.72991825381
448,3908529498451,190.769500281051,7082.09739105331
449,3891464689724,190.791719054845,7083.50408241337
450,3922312091680,190.754795542777,7080.13288744468
451,3953709892115,190.729614644781,7079.84433279126
452,3906529462782,190.769955826764,7081.7687286071
453,3913635460764,190.76782160485,7081.26947869342
454,3931790395206,190.743665373115,7082.3188897996
455,3910225895894,190.771237863731,7083.55468237964
456,3924695067636,190.758572835458,7080.22537239371
457,3916310981446,190.76593274794,7081.91396437707
458,3925941385000,190.751156187341,7080.46669981576
459,3911285866205,190.769138411873,7081.57980709025
460,3942306342109,190.736610512502,7080.201081624
461,3925769681257,190.753596436655,7080.4621813347
462,3926905376509,190.757764617122,7082.10141831855
463,3949089720959,190.735634055105,7080.42763365038
464,3945731021210,190.741994889776,7081.60467945077
465,3921002555101,190.762268406628,7079.67948268405
466,3918463906828,190.768232801715,7082.24731993952
467,3918065508971,190.761964753566,7082.03566579714
468,3929627306215,190.754185122357,7081.71774815014
469,3940851737080,190.745814546978,7080.90016506634
470,3920091444484,190.76440013192,7081.76466363634
471,3941481507052,190.741291915098,7081.6480288397
472,3923836703315,190.753643638515,7083.85552911712
473,3908850102068,190.772646412818,7082.84745589686
474,3934084356223,190.750307700227,7082.09154767128
475,3935429269400,190.746915463859,7082.07606262446
476,3928993251758,190.750086859564,7081.78402765234
477,3929947332392,190.753244363589,7082.31609272716
478,3932188255294,190.749844783945,7082.24617455345
479,3919851795293,190.759655873308,7083.11564835089
480,3904388793660,190.781749345168,7082.53301054798
481,3914851273539,190.768738628149,7082.34958998154
482,3918261386329,190.768069092616,7083.61718366847
483,3907139480943,190.774101733845,7083.20439522799
484,3937585781871,190.745632735832,7083.41680719309
485,3928613367902,190.747707986923,7081.75355029429
486,3897240825541,190.785828204838,7084.47118269348
487,3934364580355,190.741951269001,7083.57004015295
488,3913083831560,190.769728393157,7083.24391389158
489,3943327973176,190.740771844728,7082.81932133626
490,3925554574101,190.758270160191,7085.5165067696
491,3937592916276,190.743480701381,7085.6623966508
492,3932841569920,190.755801284071,7084.92320363799
493,3917201180546,190.763842727042,7083.99165565484
494,3934031639847,190.751698458864,7082.71030487342
495,3914741236633,190.7660996788,7082.40748449603
496,3934563766280,190.746901978953,7082.76895863949
497,3939339798502,190.745254621102,7083.10942472953
498,3914018579381,190.768899352545,7082.68895571118
499,3919979668150,190.764704028784,7084.00296468106
500,3927044420797,190.758351434301,7082.54028186346
501,3900129763020,190.783731649992,7084.63983482703
502,3955973011802,190.730557476785,7084.17395288724
503,3946679322102,190.736137706425,7082.57459510018
504,3917700017097,190.764669563878,7083.69281846571
505,3928817240451,190.758864239852,7085.51144978419
506,3926418701970,190.757825206369,7084.95839268103
507,3899795045351,190.781131053991,7084.51352885565
508,3923850872671,190.761586237025,7084.27803147476
509,3928874163570,190.756079075045,7083.05761952995
510,3918569181353,190.766183125739,7083.38326479631
511,3913792907567,190.772116115014,7083.92104925981
512,3885425793261,190.792913990219,7087.10250926188
513,3893354809879,190.789026507358,7085.22482624463
514,3913389196897,190.772297778168,7085.3866041937
515,3914231541994,190.770870983717,7085.037967283
516,3902791963269,190.783541319891,7085.60985802698
517,3907262365571,190.776692630971,7085.66292230603
518,3932848336792,190.751630806469,7085.52587277702
519,3927246884292,190.760669812041,7085.29129669794
520,3936717309109,190.751242469844,7084.21826483834
521,3918700027262,190.765392365279,7084.45786033712
522,3898701187147,190.784668189289,7085.50869392468
523,3887458291068,190.796823043443,7083.82938098112
524,3927259970093,190.763104713371,7084.33523116678
525,3935542226691,190.749399275019,7082.74590501112
526,3929130949260,190.752167275012,7084.56954617179
527,3907597315556,190.776427560906,7087.27998659227
528,3918633785532,190.765837922505,7084.3725780604
529,3891336700945,190.795400564215,7086.16763949555
530,3938159357946,190.749695259469,7085.34407100182
531,3907172729771,190.772384741608,7086.59654851212
532,3933024509190,190.753157469927,7086.06382991249
533,3907349154857,190.780947825762,7086.37667948365
534,3924945060723,190.761682476707,7085.26320470263
535,3907854754315,190.7761687195,7085.30165492077
536,3917376984420,190.769532425939,7085.82715621736
537,3908832740681,190.775979914954,7086.49147341178
538,3908847527749,190.777816443311,7084.24502269471
539,3917657593062,190.776560045933,7086.27228722073
540,3913123272226,190.777822302869,7084.77187675647
541,3905093548466,190.777880585702,7086.36410041293
542,3923115078325,190.761677382403,7085.42685567694
543,3922239779168,190.763858684483,7085.79599694642
544,3913960612872,190.776302922759,7087.52911558028
545,3923130524981,190.764962361023,7085.2843285215
546,3941617324789,190.746132416592,7084.66617881775
547,3935921241384,190.750443968562,7085.32582468303
548,3933153745380,190.755908509045,7086.33554866904
549,3941658799183,190.749073640861,7086.21883399709
550,3918502436616,190.766679773605,7085.09336266455
551,3914628562453,190.773356668169,7084.83397987891
552,3894327513026,190.795997215393,7084.26563809794
553,3911298971641,190.778221565351,7086.28385769364
554,3921293984717,190.768083038783,7086.6900023192
555,3927597609874,190.759532443124,7085.41148504265
556,3918334119043,190.767921482452,7086.4084683615
557,3911063226737,190.77607454248,7086.93731731955
558,3899274811323,190.788169870227,7086.65678515031
559,3921922140378,190.763319511688,7086.44528554643
560,3918050831803,190.770477428593,7085.48235222328
561,3917281128718,190.769554588207,7087.70026504216
562,3923928143780,190.766484649555,7086.76352591176
563,3932065221622,190.758516497454,7085.79960899314
564,3898094319004,190.789610016906,7086.89009335162
565,3919435610828,190.768639645361,7088.30051640177
566,3902174366789,190.783404580811,7085.57077227546
567,3923026468003,190.767951245121,7088.4519382093
568,3917236036599,190.765734007422,7087.49400270902
569,3903693899313,190.782818634135,7086.52607822128
570,3928606497565,190.764360444733,7086.36274961614
571,3938547613712,190.75312167285,7086.29474775176
572,3900494580250,190.791385305742,7089.10449936859
573,3909734555671,190.777809435932,7087.14395016737
574,3931519056834,190.755926070967,7087.24568925729
575,3914444134095,190.779395731628,7089.06333752476
576,3927410063627,190.763926693117,7089.70578609966
577,3915624031445,190.775098099374,7084.70235723784
578,3928467602051,190.762827658898,7086.3522992181
579,3912945141916,190.778358576298,7086.45431709857
580,3906691517715,190.775340549518,7087.19650613375
581,3916170456484,190.771317663135,7085.98902674217
582,3943190001563,190.742788536429,7085.56113841109
583,3907782511032,190.784607654943,7088.69131323938
584,3923853469840,190.765077824221,7086.5925347583
585,3944987819444,190.745365470542,7084.95384142269
586,3916418115928,190.773448408251,7086.34528371135
587,3900182252065,190.790540721809,7086.84260649425
588,3926025377287,190.765588429218,7087.96248168578
589,3912506519018,190.776585063254,7087.23133987325
590,3926578974022,190.762098314174,7087.49189197519
591,3916399797756,190.770253265432,7087.93947983498
592,3909885728067,190.77755012013,7087.44245020791
593,3906516811575,190.781534270794,7087.56766843046
594,3915548332586,190.77366913152,7088.42307025087
595,3916088391091,190.771119952035,7086.70950489943
596,3905663340219,190.784720099672,7086.94716964862
597,3930724420851,190.759788534691,7087.9250874837
598,3917144377695,190.776057933406,7086.60258283849
599,3907267005016,190.782522180309,7088.69790666766
600,3906258287855,190.780867044543,7087.56001611742
601,3897568766859,190.792736226068,7089.60629050444
602,3936333554382,190.757024878928,7087.81658507128
603,3890598749129,190.799125157852,7089.20058702358
604,3910839238486,190.78115949337,7089.17733042025
605,3902631190898,190.789025853566,7088.64386513514
